pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.29,0.794619192244432,0.794619192244432,56.0,56.0
10.67,2.326605211526897,2.326605211526897,98.0,98.0
17.19,5.099569969724254,4.476887908060894,184.0,150.0
21.11,8.19590195145655,7.082323236283005,210.0,166.0
25.78,10.532112110152335,10.000664981948239,186.0,196.0
32.27,12.448251172591576,13.214778177310203,161.0,208.0
37.84,13.159393488039736,16.57190074349105,254.0,238.0
41.51,17.331540125287837,20.089620739584696,326.0,229.0
46.3,23.045244124584737,23.70601090489155,357.0,266.0
53.31,27.196532289094293,27.459545008548062,367.0,248.0
59.98,31.57284195986552,31.34070762778489,326.0,286.0
65.22,37.77743320509384,35.379323250952936,495.0,269.0
