pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.32,0.7946191922444319,0.7946191922444319,57.0,57.0
11.9,2.326605211526897,2.326605211526897,110.0,110.0
18.83,5.842583494505258,4.476887908060893,236.0,150.0
23.41,8.193889283891783,7.082323236283004,201.0,170.0
27.99,11.11223102955702,10.00066498194824,194.0,216.0
35.52,20.87918996481131,13.214778177310201,645.0,240.0
40.51,21.47905125157441,16.57190074349105,465.0,261.0
50.15,24.720906241359017,20.089620739584696,270.0,271.0
57.62,24.134364872672386,23.706010904891546,242.0,286.0
63.05,23.712239467880117,27.45954500854806,147.0,287.0
67.38,24.481326564431306,31.340707627784887,145.0,307.0
74.48,30.564160520975495,35.379323250952936,400.0,311.0
78.8,38.84392221568559,39.56941038583621,519.0,337.0
84.05,44.81486739785261,43.938287055375795,491.0,350.0
