pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.16,0.7946191922444319,0.7946191922444319,56.0,56.0
7.52,2.326605211526897,2.326605211526897,116.0,116.0
16.92,4.469865347084706,4.476887908060894,139.0,153.0
26.61,8.946492762555636,7.082323236283005,301.0,181.0
32.15,11.836401392679305,10.00066498194824,279.0,198.0
36.75,15.035591162024396,13.214778177310203,241.0,223.0
43.22,14.940280058125529,16.57190074349105,159.0,231.0
46.55,14.498432933939775,20.089620739584696,49.0,237.0
51.99,16.088004706201886,23.567043836463455,158.0,245.0
60.69,19.491631041035262,27.122873257835124,285.0,239.0
68.08,19.58605010610299,30.83726852410599,201.0,253.0
77.55,20.921371917836844,34.63435774267514,163.0,262.0
85.92,31.404564705242983,38.55757072081002,591.0,267.0
