pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.13,0.7946191922444319,0.7946191922444319,55.0,55.0
8.5,2.326605211526897,2.326605211526897,114.0,113.0
13.06,4.466223207503559,4.476887908060894,146.0,144.0
16.5,7.792336712679276,7.082323236283004,226.0,183.0
23.12,10.829325558170492,10.00066498194824,237.0,212.0
32.53,12.300525149747992,13.214778177310201,146.0,230.0
38.96,13.60027070294704,16.571900743491053,177.0,266.0
47.44,16.11807108699421,20.089620739584696,195.0,259.0
54.96,16.147022013859285,23.65634720537627,231.0,283.0
62.17,15.85122924624452,27.409881309032784,107.0,257.0
69.66,16.287980510608715,31.241380228754334,154.0,311.0
77.09,17.56941951396266,35.279995851922386,192.0,288.0
82.55,19.83733618477095,39.43365627074367,233.0,327.0
