pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.22,0.7946191922444321,0.7946191922444321,60.0,60.0
6.63,2.0403667343656036,2.0403667343656036,91.0,91.0
10.07,3.6374714252994758,3.6374714252994758,109.0,106.0
18.74,6.682329225585974,5.454387629479941,208.0,130.0
24.21,7.239845325216517,7.37853430582495,228.0,149.0
27.79,8.207587454822795,9.57246647999441,131.0,158.0
36.4,10.813022783044907,11.759640805616787,161.0,183.0
42.03,12.52061592220648,14.110361175797905,138.0,178.0
45.53,13.318405955479895,16.45737881296182,102.0,194.0
48.67,13.107265273591375,18.96099261435346,31.0,154.0
55.14,14.688167405166043,21.429526796646012,155.0,220.0
60.23,20.61233232881679,24.22289682814057,415.0,224.0
65.74,29.918088061290057,26.841701287442614,556.0,228.0
