pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.22,0.7946191922444318,0.7946191922444318,59.0,59.0
7.56,2.326605211526897,2.326605211526897,112.0,112.0
13.93,4.476887908060893,4.476887908060893,147.0,147.0
19.56,7.325559894999666,7.082323236283004,233.0,175.0
26.86,13.683709353042662,10.000664981948239,529.0,206.0
32.25,13.71596042436174,13.214778177310201,369.0,227.0
41.85,15.173128359203421,16.57190074349105,177.0,252.0
51.41,16.37574196194388,20.089620739584696,175.0,254.0
55.81,17.314045325173314,23.706010904891546,222.0,275.0
59.1,19.318478341402894,27.45954500854806,169.0,280.0
62.8,25.05840890176292,31.340707627784887,448.0,308.0
69.52,31.881360378199478,35.379323250952936,486.0,291.0
78.16,36.890777202366266,39.5694103858362,455.0,329.0
85.52,42.88938333346875,43.938287055375795,532.0,326.0
94.21,50.90145565941858,48.464965612459004,556.0,361.0
97.84,50.340786184688895,53.17671416003937,213.0,288.0
101.46,54.01811805525094,57.83513637141682,371.0,383.0
