pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.22,0.7946191922444319,0.7946191922444319,63.0,63.0
7.48,2.326605211526897,2.326605211526897,112.0,112.0
11.84,4.888055782319958,4.476887908060894,180.0,147.0
19.24,7.514343372547432,7.082323236283004,200.0,185.0
27.81,10.258078475325961,10.000664981948239,296.0,212.0
35.13,16.209413850273712,13.214778177310201,545.0,221.0
40.39,21.073286980419066,16.336346198458678,404.0,228.0
50.13,25.47965169449467,19.62130120140764,327.0,238.0
56.38,19.62759118841449,22.789899799503143,203.0,226.0
63.75,17.90031043152711,26.177039401979755,68.0,243.0
68.97,24.537588217664478,29.538714991846167,481.0,240.0
73.21,29.52655198587735,33.06410883339608,421.0,249.0
81.62,31.678195477538388,36.60491645542068,298.0,257.0
91.61,36.04994165643107,40.28816270310374,463.0,257.0
102.89,44.615673130280335,44.027441025475476,534.0,264.0
108.41,43.92802599902603,47.83934770039039,346.0,269.0
114.87,42.57257178294245,51.77052304797553,132.0,281.0
121.91,47.96507157178416,55.68100020115976,434.0,282.0
126.27,54.81647603527483,59.7974598960329,464.0,289.0
135.32,60.357998680054706,63.78134321050273,408.0,288.0
139.74,60.915707876983724,68.07716010502762,287.0,297.0
143.2,62.0375512715468,72.15698760973797,185.0,297.0
147.78,65.24455549741214,76.58256866407623,270.0,309.0
157.53,69.82522474326085,80.75676378957684,356.0,301.0
