datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-115038,1888805556,46656,0.02,0.04,4,0.0,480,540,0.0,0.0,0.491,0.491,49.0,49.0,0.0,0,0.0,0.0,0.0
20250602-115038,1888805556,46656,0.02,0.04,4,2.51,480,540,0.0,0.0,0.491,0.491,49.0,49.0,0.0,0,0.0,0.0,0.0
20250602-115038,1888805556,46656,0.02,0.04,4,5.02,497,328,0.004,0.0,1.077,1.077,102.0,102.0,0.0,9,1.0,1.0,3.13
20250602-115038,1888805556,46656,0.02,0.04,4,7.53,529,120,0.0,0.179,1.077,1.077,102.0,102.0,0.0,9,1.0,1.0,3.13
20250602-115038,1888805556,46656,0.02,0.04,4,10.02,558,105,0.0,0.593,2.384,2.518,172.0,169.0,0.003,15,2.0,2.0,8.5
20250602-115038,1888805556,46656,0.02,0.04,4,12.54,516,75,0.0,1.101,1.923,2.518,143.0,169.0,0.042,15,2.0,2.0,8.5
20250602-115038,1888805556,46656,0.02,0.04,4,15.03,466,239,0.001,1.101,3.758,4.345,214.0,217.0,0.0,27,4.0,4.0,13.06
20250602-115038,1888805556,46656,0.02,0.04,4,17.54,279,126,0.0,2.101,6.499,6.642,319.0,278.0,0.0,31,5.0,5.0,16.5
20250602-115038,1888805556,46656,0.02,0.04,4,20.05,301,179,0.0,3.068,6.499,6.642,319.0,278.0,0.0,32,5.0,5.0,16.5
20250602-115038,1888805556,46656,0.02,0.04,4,22.55,228,63,1.0,3.068,5.081,6.642,266.0,278.0,0.091,32,5.0,5.0,16.5
20250602-115038,1888805556,46656,0.02,0.04,4,25.06,227,102,0.0,5.068,7.901,9.207,365.0,328.0,0.011,35,5.0,7.000000000000001,23.12
20250602-115038,1888805556,46656,0.02,0.04,4,27.56,190,73,1.0,5.068,7.901,9.207,365.0,328.0,0.011,35,5.0,7.000000000000001,23.12
20250602-115038,1888805556,46656,0.02,0.04,4,30.05,197,214,0.126,6.068,7.901,9.207,365.0,328.0,0.011,24,5.0,7.000000000000001,23.12
20250602-115038,1888805556,46656,0.02,0.04,4,32.57,248,222,0.0,7.068,7.408,11.956,357.0,377.0,0.008,28,6.0,9.0,32.53
20250602-115038,1888805556,46656,0.02,0.04,4,35.06,228,102,0.671,7.068,7.408,11.956,357.0,377.0,0.008,28,6.0,9.0,32.53
20250602-115038,1888805556,46656,0.02,0.04,4,37.58,182,333,0.0,8.068,7.408,11.956,357.0,377.0,0.008,23,5.0,9.0,32.53
20250602-115038,1888805556,46656,0.02,0.04,4,40.08,511,224,0.394,8.068,8.297,14.855,401.0,399.0,0.013,30,7.000000000000001,11.0,38.96
20250602-115038,1888805556,46656,0.02,0.04,4,42.58,735,107,0.0,9.068,8.297,14.855,401.0,399.0,0.013,30,6.0,11.0,38.96
20250602-115038,1888805556,46656,0.02,0.04,4,45.08,782,106,0.0,10.068,8.297,14.855,401.0,399.0,0.013,30,6.0,11.0,38.96
20250602-115038,1888805556,46656,0.02,0.04,4,47.6,816,94,0.0,11.068,8.482,17.892,381.0,423.0,0.0,37,8.0,12.0,47.44
20250602-115038,1888805556,46656,0.02,0.04,4,50.11,699,163,0.066,11.068,8.482,17.892,381.0,423.0,0.0,37,8.0,12.0,47.44
20250602-115038,1888805556,46656,0.02,0.04,4,52.6,334,149,0.53,11.068,8.482,17.892,381.0,423.0,0.0,37,8.0,12.0,47.44
20250602-115038,1888805556,46656,0.02,0.04,4,55.11,268,146,0.303,12.068,10.165,21.002,404.0,435.0,0.0,32,8.0,14.000000000000002,54.96
20250602-115038,1888805556,46656,0.02,0.04,4,57.6,242,259,0.164,13.068,10.165,21.002,404.0,435.0,0.0,32,7.000000000000001,14.000000000000002,54.96
20250602-115038,1888805556,46656,0.02,0.04,4,60.12,191,194,0.0,14.068,10.165,21.002,404.0,435.0,0.0,35,7.000000000000001,14.000000000000002,54.96
20250602-115038,1888805556,46656,0.02,0.04,4,62.62,192,241,0.0,15.068,8.401,24.089,383.0,444.0,0.0,35,7.000000000000001,16.0,62.17
20250602-115038,1888805556,46656,0.02,0.04,4,65.12,351,163,1.0,15.068,8.401,24.089,383.0,444.0,0.0,35,7.000000000000001,16.0,62.17
20250602-115038,1888805556,46656,0.02,0.04,4,67.64,477,154,0.079,16.068,8.401,24.089,383.0,444.0,0.0,32,7.000000000000001,16.0,62.17
20250602-115038,1888805556,46656,0.02,0.04,4,70.14,490,233,0.125,17.068,9.346,27.538,421.0,452.0,0.03,35,7.000000000000001,18.0,69.66
20250602-115038,1888805556,46656,0.02,0.04,4,72.64,554,198,0.0,18.068,9.346,27.538,421.0,452.0,0.03,35,7.000000000000001,18.0,69.66
20250602-115038,1888805556,46656,0.02,0.04,4,75.14,504,60,1.0,18.068,9.346,27.538,421.0,452.0,0.03,35,7.000000000000001,18.0,69.66
20250602-115038,1888805556,46656,0.02,0.04,4,77.65,477,302,0.027,19.068,9.857,31.008,433.0,464.0,0.012,43,8.0,21.0,77.09
20250602-115038,1888805556,46656,0.02,0.04,4,80.16,591,118,0.0,20.068,9.857,31.008,433.0,464.0,0.012,43,8.0,21.0,77.09
20250602-115038,1888805556,46656,0.02,0.04,4,82.55,540,107,0.0,20.068,12.186,34.596,443.0,479.0,0.125,100,15.0,23.0,82.55
