datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-114538,2147483648,24824,0.02,0.04,4,0.0,480,540,0.0,0.0,0.52,0.52,49.0,49.0,0.0,0,0.0,0.0,0.0
20250602-114538,2147483648,24824,0.02,0.04,4,2.51,480,540,0.0,0.0,0.52,0.52,49.0,49.0,0.0,0,0.0,0.0,0.0
20250602-114538,2147483648,24824,0.02,0.04,4,5.01,404,363,0.0,0.0,1.148,1.148,107.0,107.0,0.0,10,1.0,1.0,3.19
20250602-114538,2147483648,24824,0.02,0.04,4,7.53,110,138,0.08,0.0,1.148,1.148,107.0,107.0,0.0,10,1.0,1.0,3.19
20250602-114538,2147483648,24824,0.02,0.04,4,10.03,104,199,0.0,0.307,2.313,2.565,157.0,155.0,0.004,28,3.0,2.0,9.62
20250602-114538,2147483648,24824,0.02,0.04,4,12.53,81,249,0.0,0.646,2.313,2.565,157.0,155.0,0.004,28,3.0,2.0,9.62
20250602-114538,2147483648,24824,0.02,0.04,4,15.04,55,127,0.0,1.382,1.677,2.565,120.0,155.0,0.0,28,3.0,2.0,9.62
20250602-114538,2147483648,24824,0.02,0.04,4,17.53,149,206,0.0,1.382,4.712,4.53,254.0,198.0,0.0,40,4.0,4.0,15.27
20250602-114538,2147483648,24824,0.02,0.04,4,20.03,475,318,0.0,1.382,4.712,4.53,254.0,198.0,0.0,40,4.0,4.0,15.27
20250602-114538,2147483648,24824,0.02,0.04,4,22.55,760,184,0.187,1.382,4.525,4.53,243.0,198.0,0.0,40,4.0,4.0,15.27
20250602-114538,2147483648,24824,0.02,0.04,4,25.06,824,274,0.0,2.382,6.858,6.907,276.0,236.0,0.0,50,5.0,5.0,22.86
20250602-114538,2147483648,24824,0.02,0.04,4,27.56,858,67,0.0,3.382,6.858,6.907,276.0,236.0,0.0,45,5.0,5.0,22.86
20250602-114538,2147483648,24824,0.02,0.04,4,30.06,856,200,0.0,3.382,8.131,9.557,306.0,278.0,0.002,50,10.0,7.000000000000001,29.4
20250602-114538,2147483648,24824,0.02,0.04,4,32.56,853,230,0.0,4.382,8.131,9.557,306.0,278.0,0.002,44,9.0,7.000000000000001,29.4
20250602-114538,2147483648,24824,0.02,0.04,4,35.08,807,97,1.0,4.382,8.131,9.557,306.0,278.0,0.002,44,9.0,7.000000000000001,29.4
20250602-114538,2147483648,24824,0.02,0.04,4,37.58,801,329,0.0,5.382,8.289,12.494,336.0,321.0,0.044,42,9.0,9.0,35.94
20250602-114538,2147483648,24824,0.02,0.04,4,40.08,863,127,0.0,6.382,8.289,12.494,336.0,321.0,0.044,42,8.0,9.0,35.94
20250602-114538,2147483648,24824,0.02,0.04,4,42.58,912,112,0.611,6.382,8.289,12.494,336.0,321.0,0.044,42,8.0,9.0,35.94
20250602-114538,2147483648,24824,0.02,0.04,4,45.09,920,353,0.0,7.382,7.737,15.565,346.0,348.0,0.038,65,10.0,10.0,44.54
20250602-114538,2147483648,24824,0.02,0.04,4,47.59,776,169,1.0,7.382,7.737,15.565,346.0,348.0,0.038,65,10.0,10.0,44.54
20250602-114538,2147483648,24824,0.02,0.04,4,50.1,748,263,0.0,8.382,7.737,15.565,346.0,348.0,0.038,65,10.0,10.0,44.54
20250602-114538,2147483648,24824,0.02,0.04,4,52.6,834,177,0.0,9.382,5.868,15.565,300.0,348.0,0.02,65,9.0,10.0,44.54
20250602-114538,2147483648,24824,0.02,0.04,4,55.12,833,276,0.0,9.382,11.076,18.444,537.0,362.0,0.019,75,10.0,12.0,53.5
20250602-114538,2147483648,24824,0.02,0.04,4,57.62,697,266,0.354,9.382,11.076,18.444,537.0,362.0,0.019,75,10.0,12.0,53.5
20250602-114538,2147483648,24824,0.02,0.04,4,60.12,328,326,0.374,9.382,11.076,18.444,537.0,362.0,0.019,75,10.0,12.0,53.5
20250602-114538,2147483648,24824,0.02,0.04,4,62.63,97,97,1.0,9.382,10.076,18.444,480.0,362.0,0.016,75,10.0,12.0,53.5
20250602-114538,2147483648,24824,0.02,0.04,4,65.13,102,83,1.0,10.382,13.092,21.717,491.0,374.0,0.117,71,11.0,14.000000000000002,63.38
20250602-114538,2147483648,24824,0.02,0.04,4,67.63,58,192,0.715,11.382,13.092,21.717,491.0,374.0,0.117,71,10.0,14.000000000000002,63.38
20250602-114538,2147483648,24824,0.02,0.04,4,70.14,43,267,0.0,12.382,13.092,21.717,491.0,374.0,0.117,66,10.0,14.000000000000002,63.38
20250602-114538,2147483648,24824,0.02,0.04,4,72.64,50,190,0.0,13.382,10.52,21.717,434.0,374.0,0.297,64,9.0,14.000000000000002,63.38
20250602-114538,2147483648,24824,0.02,0.04,4,75.15,105,67,1.0,13.382,12.424,24.771,494.0,380.0,0.297,62,9.0,16.0,72.8
20250602-114538,2147483648,24824,0.02,0.04,4,77.66,136,295,0.085,14.382,11.887,27.808,486.0,387.0,0.348,52,9.0,18.0,75.99
20250602-114538,2147483648,24824,0.02,0.04,4,80.16,156,165,0.0,15.382,11.844,31.316,476.0,392.0,0.307,63,10.0,20.0,79.27
20250602-114538,2147483648,24824,0.02,0.04,4,82.66,163,364,0.565,15.382,11.351,31.316,458.0,392.0,0.295,63,10.0,20.0,79.27
20250602-114538,2147483648,24824,0.02,0.04,4,85.16,68,71,0.0,16.382,12.957,35.301,472.0,419.0,0.295,62,11.0,22.0,82.92
20250602-114538,2147483648,24824,0.02,0.04,4,87.68,40,87,0.0,17.382,12.957,35.301,472.0,419.0,0.295,62,10.0,22.0,82.92
20250602-114538,2147483648,24824,0.02,0.04,4,90.18,37,217,0.0,18.382,13.811,38.683,492.0,434.0,0.343,57,10.0,24.0,89.3
20250602-114538,2147483648,24824,0.02,0.04,4,92.68,67,234,1.0,18.382,13.811,38.683,492.0,434.0,0.343,57,10.0,24.0,89.3
20250602-114538,2147483648,24824,0.02,0.04,4,95.19,88,218,0.0,19.382,13.811,38.683,492.0,434.0,0.343,54,10.0,24.0,89.3
20250602-114538,2147483648,24824,0.02,0.04,4,97.69,91,121,0.0,20.382,13.221,42.761,515.0,456.0,0.325,54,13.0,26.0,96.79
20250602-114538,2147483648,24824,0.02,0.04,4,100.21,60,177,0.5,20.382,13.221,42.761,515.0,456.0,0.325,54,13.0,26.0,96.79
20250602-114538,2147483648,24824,0.02,0.04,4,102.72,59,280,0.0,21.382,12.611,42.761,487.0,456.0,0.292,49,12.0,26.0,96.79
20250602-114538,2147483648,24824,0.02,0.04,4,105.21,331,156,0.737,21.382,19.11,46.346,665.0,466.0,0.292,86,18.0,28.999999999999996,103.16
20250602-114538,2147483648,24824,0.02,0.04,4,107.71,691,234,1.0,21.382,19.11,46.346,665.0,466.0,0.292,86,18.0,28.999999999999996,103.16
20250602-114538,2147483648,24824,0.02,0.04,4,110.21,818,149,0.0,22.382,19.11,46.346,665.0,466.0,0.292,82,18.0,28.999999999999996,103.16
20250602-114538,2147483648,24824,0.02,0.04,4,112.73,803,211,0.1,23.382,18.581,46.346,596.0,466.0,0.253,80,18.0,28.999999999999996,103.16
20250602-114538,2147483648,24824,0.02,0.04,4,112.81,804,195,0.285,23.382,26.428,50.696,711.0,476.0,0.253,100,24.0,31.0,112.81
