datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-121311,2261014785,68589,0.02,0.04,4,0.0,480,540,0.0,0.0,0.52,0.52,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-121311,2261014785,68589,0.02,0.04,4,2.51,480,540,0.0,0.0,0.52,0.52,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-121311,2261014785,68589,0.02,0.04,4,5.02,494,294,0.0,0.0,1.156,1.156,107.0,107.0,0.0,9,1.0,1.0,3.27
20250602-121311,2261014785,68589,0.02,0.04,4,7.53,490,158,0.0,0.163,1.156,1.156,107.0,107.0,0.0,9,1.0,1.0,3.27
20250602-121311,2261014785,68589,0.02,0.04,4,10.03,300,185,0.019,0.163,1.156,1.156,107.0,107.0,0.0,9,1.0,1.0,3.27
20250602-121311,2261014785,68589,0.02,0.04,4,12.53,163,194,0.0,0.983,2.172,2.413,157.0,157.0,0.001,12,2.0,2.0,10.64
20250602-121311,2261014785,68589,0.02,0.04,4,15.05,169,174,0.086,1.317,3.276,4.248,212.0,208.0,0.002,30,4.0,4.0,14.09
20250602-121311,2261014785,68589,0.02,0.04,4,17.54,169,184,0.144,2.281,2.864,4.248,186.0,208.0,0.0,30,4.0,4.0,14.09
20250602-121311,2261014785,68589,0.02,0.04,4,20.04,198,271,0.0,3.281,7.142,6.533,375.0,258.0,0.0,37,5.0,5.0,17.76
20250602-121311,2261014785,68589,0.02,0.04,4,22.54,483,137,1.0,3.281,7.142,6.533,375.0,258.0,0.0,37,5.0,5.0,17.76
20250602-121311,2261014785,68589,0.02,0.04,4,25.06,519,67,0.0,5.281,7.142,6.533,375.0,258.0,0.0,32,5.0,5.0,17.76
20250602-121311,2261014785,68589,0.02,0.04,4,27.56,490,146,0.0,6.281,8.245,9.043,384.0,305.0,0.027,52,9.0,7.000000000000001,26.22
20250602-121311,2261014785,68589,0.02,0.04,4,30.06,605,183,1.0,6.281,8.245,9.043,384.0,305.0,0.027,52,9.0,7.000000000000001,26.22
20250602-121311,2261014785,68589,0.02,0.04,4,32.58,795,147,0.0,7.281,13.903,11.89,696.0,345.0,0.248,50,9.0,9.0,32.32
20250602-121311,2261014785,68589,0.02,0.04,4,35.08,783,200,0.0,8.281,13.903,11.89,696.0,345.0,0.248,50,8.0,9.0,32.32
20250602-121311,2261014785,68589,0.02,0.04,4,37.57,881,127,1.0,8.281,13.903,11.89,696.0,345.0,0.248,50,8.0,9.0,32.32
20250602-121311,2261014785,68589,0.02,0.04,4,40.09,885,69,1.0,9.281,10.903,11.89,619.0,345.0,0.386,39,8.0,9.0,32.32
20250602-121311,2261014785,68589,0.02,0.04,4,42.6,871,331,0.263,10.281,13.155,14.812,691.0,373.0,0.386,32,8.0,10.0,40.13
20250602-121311,2261014785,68589,0.02,0.04,4,45.09,832,82,0.0,11.281,13.155,14.812,691.0,373.0,0.386,32,8.0,10.0,40.13
20250602-121311,2261014785,68589,0.02,0.04,4,47.6,752,211,0.195,11.281,13.155,14.812,691.0,373.0,0.386,32,8.0,10.0,40.13
20250602-121311,2261014785,68589,0.02,0.04,4,50.1,515,70,0.0,12.281,14.686,17.866,684.0,392.0,0.207,63,12.0,12.0,49.64
20250602-121311,2261014785,68589,0.02,0.04,4,52.6,508,126,0.0,13.281,14.686,17.866,684.0,392.0,0.207,60,11.0,12.0,49.64
20250602-121311,2261014785,68589,0.02,0.04,4,55.11,478,66,0.0,14.281,14.686,17.866,684.0,392.0,0.207,61,11.0,12.0,49.64
20250602-121311,2261014785,68589,0.02,0.04,4,57.61,512,215,0.229,14.281,13.176,17.866,617.0,392.0,0.262,61,11.0,12.0,49.64
20250602-121311,2261014785,68589,0.02,0.04,4,60.11,570,209,0.0,15.281,12.405,17.866,599.0,392.0,0.308,63,11.0,12.0,49.64
20250602-121311,2261014785,68589,0.02,0.04,4,62.62,528,143,1.0,15.281,21.864,21.026,943.0,405.0,0.308,65,11.0,14.000000000000002,60.51
20250602-121311,2261014785,68589,0.02,0.04,4,65.12,513,179,0.236,16.281,21.864,21.026,943.0,405.0,0.308,60,11.0,14.000000000000002,60.51
20250602-121311,2261014785,68589,0.02,0.04,4,67.64,510,122,0.12,17.281,21.864,21.026,943.0,405.0,0.308,57,11.0,14.000000000000002,60.51
20250602-121311,2261014785,68589,0.02,0.04,4,70.14,547,265,0.101,18.281,22.758,24.288,929.0,417.0,0.302,57,12.0,16.0,69.29
20250602-121311,2261014785,68589,0.02,0.04,4,72.64,481,184,0.0,19.281,22.758,24.288,929.0,417.0,0.302,55,12.0,16.0,69.29
20250602-121311,2261014785,68589,0.02,0.04,4,75.14,426,97,1.0,19.281,22.758,24.288,929.0,417.0,0.302,55,12.0,16.0,69.29
20250602-121311,2261014785,68589,0.02,0.04,4,77.66,432,92,0.94,20.281,21.581,24.288,857.0,417.0,0.211,55,12.0,16.0,69.29
20250602-121311,2261014785,68589,0.02,0.04,4,80.15,423,145,0.059,21.281,24.281,27.575,946.0,428.0,0.209,68,16.0,18.0,77.84
20250602-121311,2261014785,68589,0.02,0.04,4,82.65,428,267,0.001,22.281,24.281,27.575,946.0,428.0,0.209,68,15.0,18.0,77.84
20250602-121311,2261014785,68589,0.02,0.04,4,85.17,504,174,0.0,23.281,24.281,27.575,946.0,428.0,0.209,60,15.0,18.0,77.84
20250602-121311,2261014785,68589,0.02,0.04,4,87.67,554,95,1.0,23.281,26.999,31.059,965.0,451.0,0.152,57,16.0,21.0,86.44
20250602-121311,2261014785,68589,0.02,0.04,4,90.18,531,61,0.0,25.281,26.999,31.059,965.0,451.0,0.152,56,15.0,21.0,86.44
20250602-121311,2261014785,68589,0.02,0.04,4,92.67,481,158,0.473,25.281,26.999,31.059,965.0,451.0,0.152,56,15.0,21.0,86.44
20250602-121311,2261014785,68589,0.02,0.04,4,95.19,470,308,0.0,26.281,26.999,31.059,965.0,451.0,0.152,56,15.0,21.0,86.44
20250602-121311,2261014785,68589,0.02,0.04,4,97.7,480,64,1.0,26.281,26.545,34.619,1096.0,462.0,0.1,65,18.0,23.0,96.09
20250602-121311,2261014785,68589,0.02,0.04,4,100.2,450,249,0.101,27.281,26.545,34.619,1096.0,462.0,0.1,65,17.0,23.0,96.09
20250602-121311,2261014785,68589,0.02,0.04,4,102.7,147,133,1.0,27.281,26.545,34.619,1096.0,462.0,0.1,65,17.0,23.0,96.09
20250602-121311,2261014785,68589,0.02,0.04,4,105.21,150,129,0.573,28.281,32.485,38.382,1294.0,478.0,0.224,61,17.0,25.0,104.34
20250602-121311,2261014785,68589,0.02,0.04,4,107.7,160,311,0.0,29.281,32.485,38.382,1294.0,478.0,0.224,56,17.0,25.0,104.34
20250602-121311,2261014785,68589,0.02,0.04,4,110.21,188,83,0.0,30.281,32.485,38.382,1294.0,478.0,0.224,56,16.0,25.0,104.34
20250602-121311,2261014785,68589,0.02,0.04,4,112.72,159,62,0.0,31.281,32.557,42.219,1291.0,501.0,0.379,52,16.0,28.000000000000004,111.08
20250602-121311,2261014785,68589,0.02,0.04,4,115.22,104,171,0.476,31.281,32.557,42.219,1291.0,501.0,0.379,52,16.0,28.000000000000004,111.08
20250602-121311,2261014785,68589,0.02,0.04,4,117.73,71,263,0.0,32.281,32.557,42.219,1291.0,501.0,0.379,53,16.0,28.000000000000004,111.08
20250602-121311,2261014785,68589,0.02,0.04,4,120.23,415,163,1.0,32.281,31.108,46.254,1241.0,516.0,0.446,51,16.0,30.0,119.33
20250602-121311,2261014785,68589,0.02,0.04,4,122.75,454,232,0.0,33.281,31.108,46.254,1241.0,516.0,0.446,51,16.0,30.0,119.33
20250602-121311,2261014785,68589,0.02,0.04,4,125.25,492,226,0.0,34.281,31.108,46.254,1241.0,516.0,0.446,51,15.0,30.0,119.33
20250602-121311,2261014785,68589,0.02,0.04,4,127.75,541,81,1.0,34.281,31.108,46.254,1241.0,516.0,0.446,51,15.0,30.0,119.33
20250602-121311,2261014785,68589,0.02,0.04,4,130.25,525,329,0.041,35.281,30.519,50.155,1187.0,522.0,0.383,51,16.0,33.0,128.59
20250602-121311,2261014785,68589,0.02,0.04,4,132.76,759,60,1.0,35.281,29.519,50.155,1145.0,522.0,0.316,51,16.0,33.0,128.59
20250602-121311,2261014785,68589,0.02,0.04,4,135.26,798,101,0.925,36.281,32.269,54.839,1200.0,544.0,0.32,54,20.0,35.0,133.05
20250602-121311,2261014785,68589,0.02,0.04,4,137.77,743,340,0.0,37.281,32.269,54.839,1200.0,544.0,0.32,54,20.0,35.0,133.05
20250602-121311,2261014785,68589,0.02,0.04,4,140.26,869,78,0.0,38.281,32.269,54.839,1200.0,544.0,0.32,54,19.0,35.0,133.05
20250602-121311,2261014785,68589,0.02,0.04,4,142.77,822,283,0.037,38.281,30.252,54.839,1122.0,544.0,0.329,54,19.0,35.0,133.05
20250602-121311,2261014785,68589,0.02,0.04,4,145.28,794,183,0.0,39.281,36.505,59.233,1211.0,559.0,0.316,54,21.0,38.0,144.28
20250602-121311,2261014785,68589,0.02,0.04,4,147.78,828,243,0.0,40.281,36.505,59.233,1211.0,559.0,0.316,54,21.0,38.0,144.28
20250602-121311,2261014785,68589,0.02,0.04,4,150.28,848,135,0.0,41.281,36.505,59.233,1211.0,559.0,0.316,54,20.0,38.0,144.28
20250602-121311,2261014785,68589,0.02,0.04,4,152.78,903,154,1.0,41.281,36.505,59.233,1211.0,559.0,0.316,54,20.0,38.0,144.28
20250602-121311,2261014785,68589,0.02,0.04,4,155.29,896,183,0.118,42.281,37.473,63.973,1192.0,573.0,0.336,53,20.0,41.0,153.82
20250602-121311,2261014785,68589,0.02,0.04,4,157.79,893,256,0.0,43.281,37.473,63.973,1192.0,573.0,0.336,53,20.0,41.0,153.82
20250602-121311,2261014785,68589,0.02,0.04,4,160.31,578,213,0.993,43.281,37.312,68.605,1187.0,588.0,0.301,74,24.0,44.0,159.28
20250602-121311,2261014785,68589,0.02,0.04,4,162.82,210,218,1.0,43.281,37.312,68.605,1187.0,588.0,0.301,74,24.0,44.0,159.28
20250602-121311,2261014785,68589,0.02,0.04,4,165.32,127,224,0.0,44.281,37.228,68.605,1181.0,588.0,0.325,73,23.0,44.0,159.28
20250602-121311,2261014785,68589,0.02,0.04,4,167.81,92,172,0.0,45.281,44.441,73.673,1245.0,595.0,0.292,80,26.0,47.0,166.71
20250602-121311,2261014785,68589,0.02,0.04,4,170.32,135,219,0.0,46.281,44.441,73.673,1245.0,595.0,0.292,83,26.0,47.0,166.71
20250602-121311,2261014785,68589,0.02,0.04,4,172.83,177,93,0.0,47.281,44.441,73.673,1245.0,595.0,0.292,83,26.0,47.0,166.71
20250602-121311,2261014785,68589,0.02,0.04,4,175.33,121,199,0.421,47.281,42.406,73.673,1163.0,595.0,0.346,83,26.0,47.0,166.71
20250602-121311,2261014785,68589,0.02,0.04,4,177.82,92,134,0.161,48.281,48.364,78.515,1260.0,607.0,0.346,77,27.0,49.0,175.96
20250602-121311,2261014785,68589,0.02,0.04,4,180.34,126,206,0.2,49.281,48.364,78.515,1260.0,607.0,0.346,77,27.0,49.0,175.96
20250602-121311,2261014785,68589,0.02,0.04,4,182.85,135,248,0.0,50.281,48.364,78.515,1260.0,607.0,0.346,72,26.0,49.0,175.96
20250602-121311,2261014785,68589,0.02,0.04,4,185.36,199,117,0.0,51.281,50.077,83.346,1266.0,611.0,0.347,68,28.999999999999996,52.0,183.34
20250602-121311,2261014785,68589,0.02,0.04,4,187.85,238,112,1.0,51.281,50.077,83.346,1266.0,611.0,0.347,68,28.999999999999996,52.0,183.34
20250602-121311,2261014785,68589,0.02,0.04,4,190.36,314,257,0.0,52.281,51.294,83.346,1231.0,611.0,0.277,77,28.999999999999996,52.0,183.34
20250602-121311,2261014785,68589,0.02,0.04,4,192.86,170,62,1.0,52.281,55.622,87.771,1331.0,624.0,0.281,78,34.0,55.00000000000001,191.18
20250602-121311,2261014785,68589,0.02,0.04,4,195.37,255,149,0.012,53.281,55.622,87.771,1331.0,624.0,0.281,72,34.0,55.00000000000001,191.18
20250602-121311,2261014785,68589,0.02,0.04,4,197.87,355,177,0.0,54.281,55.622,87.771,1331.0,624.0,0.281,72,34.0,55.00000000000001,191.18
20250602-121311,2261014785,68589,0.02,0.04,4,200.37,552,120,0.0,55.281,55.21,87.771,1274.0,624.0,0.261,66,34.0,55.00000000000001,191.18
20250602-121311,2261014785,68589,0.02,0.04,4,201.7,536,300,0.0,55.281,63.755,92.467,1414.0,627.0,0.261,100,45.0,56.99999999999999,201.7
