datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-121834,2934394436,77579,0.02,0.04,4,0.0,480,540,0.0,0.0,0.52,0.52,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-121834,2934394436,77579,0.02,0.04,4,2.51,480,540,0.0,0.0,0.52,0.52,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-121834,2934394436,77579,0.02,0.04,4,5.02,400,336,0.0,0.0,1.106,1.106,109.0,109.0,0.0,5,1.0,1.0,3.15
20250602-121834,2934394436,77579,0.02,0.04,4,7.52,246,77,0.0,0.211,2.195,2.366,160.0,159.0,0.008,10,2.0,2.0,7.47
20250602-121834,2934394436,77579,0.02,0.04,4,10.02,216,184,0.0,0.211,2.195,2.366,160.0,159.0,0.008,10,2.0,2.0,7.47
20250602-121834,2934394436,77579,0.02,0.04,4,12.53,69,159,0.0,0.634,4.333,4.169,246.0,215.0,0.0,15,4.0,4.0,10.93
20250602-121834,2934394436,77579,0.02,0.04,4,15.05,45,109,0.0,1.634,4.333,4.169,246.0,215.0,0.0,14,3.0,4.0,10.93
20250602-121834,2934394436,77579,0.02,0.04,4,17.55,42,188,0.175,1.634,4.333,4.169,246.0,215.0,0.0,14,3.0,4.0,10.93
20250602-121834,2934394436,77579,0.02,0.04,4,20.05,54,154,0.0,2.634,5.318,6.023,270.0,247.0,0.001,36,6.0,5.0,19.45
20250602-121834,2934394436,77579,0.02,0.04,4,22.55,80,192,0.0,3.634,5.318,6.023,270.0,247.0,0.001,36,6.0,5.0,19.45
20250602-121834,2934394436,77579,0.02,0.04,4,25.05,241,66,0.593,3.634,4.686,6.023,226.0,247.0,0.0,36,6.0,5.0,19.45
20250602-121834,2934394436,77579,0.02,0.04,4,27.55,271,176,0.023,4.227,9.896,8.446,419.0,282.0,0.0,44,7.000000000000001,6.0,25.7
20250602-121834,2934394436,77579,0.02,0.04,4,30.06,633,163,1.0,4.227,9.896,8.446,419.0,282.0,0.0,44,7.000000000000001,6.0,25.7
20250602-121834,2934394436,77579,0.02,0.04,4,32.56,670,147,0.668,5.227,11.763,10.688,436.0,301.0,0.072,44,10.0,8.0,32.23
20250602-121834,2934394436,77579,0.02,0.04,4,35.07,669,216,0.161,6.227,11.763,10.688,436.0,301.0,0.072,44,9.0,8.0,32.23
20250602-121834,2934394436,77579,0.02,0.04,4,37.58,613,226,0.0,7.227,11.763,10.688,436.0,301.0,0.072,44,9.0,8.0,32.23
