pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.27,0.7946191922444319,0.7946191922444319,58.0,58.0
10.64,2.326605211526897,2.326605211526897,110.0,109.0
14.09,4.475426565926329,4.476887908060894,155.0,150.0
17.76,8.688148674303134,7.082323236283005,296.0,188.0
26.22,11.341992987545513,10.00066498194824,248.0,209.0
32.32,19.09101855861777,13.214778177310205,490.0,242.0
40.13,19.143644895472406,16.57190074349105,346.0,249.0
49.64,20.2840987106852,20.089620739584696,312.0,264.0
60.51,28.431916404202294,23.70601090489155,550.0,256.0
69.29,29.55461718046689,27.459545008548055,377.0,282.0
77.84,31.482546182718913,31.27892118902239,237.0,270.0
86.44,35.27794028361159,35.31753681219043,297.0,311.0
96.09,37.231353877222446,39.42558568981318,344.0,297.0
104.34,41.90837274114143,43.79446235935278,421.0,328.0
111.08,42.736595788891755,48.201479542824906,324.0,334.0
119.33,42.32368655414848,52.91212398989121,104.0,355.0
128.59,42.33925494752569,57.61182147192824,79.0,344.0
133.05,43.740374572600395,62.669333692383866,208.0,416.0
144.28,51.93358368826567,67.65358044600677,395.0,396.0
153.82,55.16760420002923,73.04944267506377,349.0,404.0
159.28,54.62091036144872,78.30533550064322,201.0,419.0
166.71,62.03476283829741,84.02056916929264,467.0,433.0
175.96,68.31680236797905,89.48975899291237,475.0,434.0
183.34,70.26972342045161,94.9761041054288,337.0,435.0
191.18,74.24162077923428,99.94745355251095,373.0,418.0
201.7,83.08257412004403,105.21273235794462,585.0,450.0
