pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.31,0.7946191922444319,0.7946191922444319,61.0,61.0
9.62,2.326605211526897,2.326605211526897,105.0,105.0
14.92,4.586877656873404,4.476887908060894,164.0,140.0
23.25,6.510350408615102,6.8327403328065195,165.0,159.0
32.55,7.647002241355714,9.373932375221962,153.0,180.0
36.87,9.402000238672102,12.098625101833404,158.0,201.0
45.3,11.871296338082017,14.935209288083204,175.0,202.0
54.41,16.826036313999264,17.89563185290228,456.0,226.0
60.17,17.964786494592392,20.90961988270579,337.0,218.0
65.66,19.153464914733547,24.0551081464741,214.0,246.0
68.92,18.25984408204131,27.387217510959857,120.0,248.0
72.15,17.48369229130342,30.673466823147333,52.0,258.0
81.96,21.912025824150895,34.299252323854844,320.0,282.0
87.65,25.80592517968513,37.84855157730222,352.0,306.0
91.11,25.759504981416068,41.67795499147745,236.0,294.0
95.58,26.96904926154413,45.509361734502534,180.0,323.0
102.93,36.803569459330134,49.534807685223896,558.0,308.0
