pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.29,0.7946191922444319,0.7946191922444319,61.0,61.0
9.67,2.326605211526897,2.326605211526897,108.0,105.0
14.98,4.5674701739049395,4.476887908060894,167.0,140.0
23.42,6.962036844292576,6.8327403328065195,194.0,159.0
33.13,10.290856189953143,9.373932375221962,300.0,180.0
37.8,13.64611856939137,12.098625101833404,277.0,203.0
46.4,16.227525503512148,14.935209288083204,241.0,201.0
54.68,14.290162243617978,17.89563185290228,126.0,222.0
60.15,12.62183504936786,20.90961988270579,115.0,222.0
65.6,14.541713387907565,24.0551081464741,142.0,246.0
69.13,15.199906275748553,27.387217510959857,139.0,248.0
72.65,17.44334693813611,30.673466823147333,171.0,273.0
82.18,18.06576515887125,34.299252323854844,133.0,272.0
87.55,18.002435042210244,37.84855157730222,85.0,301.0
91.63,21.63613710549903,41.67795499147745,313.0,292.0
96.86,27.09355888078427,45.509361734502534,363.0,323.0
103.32,27.863396982796456,49.534807685223896,249.0,308.0
108.51,27.828269792177853,53.653437029905845,67.0,316.0
116.78,27.90084490051491,58.048300725071506,48.0,342.0
120.33,31.23992864612196,62.384430593629546,311.0,382.0
126.51,39.79065411940111,66.50179382674946,502.0,362.0
130.42,44.31306099817791,70.23427996048889,455.0,366.0
139.02,46.6859953657048,74.07879612733112,251.0,340.0
148.58,47.633177323446255,77.74806642285924,272.0,363.0
156.17,51.425991505144125,81.53964358520929,309.0,330.0
166.86,58.948012963264226,85.13816999226395,612.0,343.0
174.02,67.6772273398173,88.93700948736067,776.0,326.0
181.7,75.51166507268252,92.55791381884353,556.0,345.0
