datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-131334,19680807,73056,0.02,0.04,4,0.0,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-131334,19680807,73056,0.02,0.04,4,2.51,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-131334,19680807,73056,0.02,0.04,4,5.01,517,344,0.0,0.0,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.29
20250602-131334,19680807,73056,0.02,0.04,4,7.53,623,102,0.0,0.253,1.011,1.011,110.0,110.0,0.0,9,1.0,1.0,3.29
20250602-131334,19680807,73056,0.02,0.04,4,10.02,657,125,0.0,0.563,2.045,2.358,160.0,157.0,0.016,13,2.0,2.0,9.67
20250602-131334,19680807,73056,0.02,0.04,4,12.52,657,59,0.906,0.563,2.045,2.358,160.0,157.0,0.016,13,2.0,2.0,9.67
20250602-131334,19680807,73056,0.02,0.04,4,15.03,715,94,0.372,1.469,3.471,4.213,229.0,201.0,0.0,21,3.0,4.0,14.98
20250602-131334,19680807,73056,0.02,0.04,4,17.54,739,184,0.224,2.282,3.471,4.213,229.0,201.0,0.0,21,3.0,4.0,14.98
20250602-131334,19680807,73056,0.02,0.04,4,20.04,753,209,0.0,3.262,3.471,4.213,229.0,201.0,0.0,21,3.0,4.0,14.98
20250602-131334,19680807,73056,0.02,0.04,4,22.54,689,247,0.0,4.262,3.471,4.213,229.0,201.0,0.0,21,3.0,4.0,14.98
20250602-131334,19680807,73056,0.02,0.04,4,25.05,583,110,0.0,4.996,5.046,6.28,259.0,233.0,0.0,38,5.0,5.0,23.42
20250602-131334,19680807,73056,0.02,0.04,4,27.55,642,61,1.0,4.996,5.046,6.28,259.0,233.0,0.0,38,5.0,5.0,23.42
20250602-131334,19680807,73056,0.02,0.04,4,30.07,685,157,0.151,5.996,5.046,6.28,259.0,233.0,0.0,38,5.0,5.0,23.42
20250602-131334,19680807,73056,0.02,0.04,4,32.56,706,249,0.0,6.996,4.072,6.28,204.0,233.0,0.011,38,4.0,5.0,23.42
