datetime_id,randseed,trial,Vmin,threshold,H,run_time,dozer_x,dozer_y,dozer_Qs,dozer_Qs_tot,washover_V_D,washover_V_ND,washover_A_D,washover_A_ND,lateral_disp,danger_score,crest_mu_D,crest_mu_ND,pulse_time
20250602-132324,19680807,84645,0.02,0.04,4,0.0,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-132324,19680807,84645,0.02,0.04,4,2.51,480,540,0.0,0.0,0.457,0.457,50.0,50.0,0.0,0,0.0,0.0,0.0
20250602-132324,19680807,84645,0.02,0.04,4,5.02,480,509,0.0,0.0,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.31
20250602-132324,19680807,84645,0.02,0.04,4,7.52,603,170,0.038,0.0,1.011,1.011,110.0,110.0,0.0,10,1.0,1.0,3.31
20250602-132324,19680807,84645,0.02,0.04,4,10.03,634,292,0.0,0.257,2.142,2.358,157.0,157.0,0.01,13,2.0,2.0,9.62
20250602-132324,19680807,84645,0.02,0.04,4,12.53,329,192,0.066,0.257,2.142,2.358,157.0,157.0,0.01,13,2.0,2.0,9.62
20250602-132324,19680807,84645,0.02,0.04,4,15.04,147,146,0.0,0.834,3.793,4.21,222.0,201.0,0.012,14,3.0,4.0,14.92
20250602-132324,19680807,84645,0.02,0.04,4,17.54,155,228,0.0,1.834,3.793,4.21,222.0,201.0,0.012,14,3.0,4.0,14.92
20250602-132324,19680807,84645,0.02,0.04,4,20.05,204,117,0.0,2.819,3.793,4.21,222.0,201.0,0.012,14,3.0,4.0,14.92
20250602-132324,19680807,84645,0.02,0.04,4,22.54,158,222,0.05,2.819,3.793,4.21,222.0,201.0,0.012,14,3.0,4.0,14.92
20250602-132324,19680807,84645,0.02,0.04,4,25.05,118,190,0.0,3.819,4.544,6.277,224.0,233.0,0.002,17,4.0,5.0,23.25
20250602-132324,19680807,84645,0.02,0.04,4,27.57,118,252,0.0,4.819,4.544,6.277,224.0,233.0,0.002,17,3.0,5.0,23.25
20250602-132324,19680807,84645,0.02,0.04,4,30.06,407,106,0.019,4.819,4.544,6.277,224.0,233.0,0.002,17,3.0,5.0,23.25
20250602-132324,19680807,84645,0.02,0.04,4,32.57,411,67,0.0,4.933,5.667,8.46,234.0,258.0,0.002,21,4.0,6.0,32.55
20250602-132324,19680807,84645,0.02,0.04,4,35.06,411,67,0.0,5.194,5.667,8.46,234.0,258.0,0.002,21,4.0,6.0,32.55
20250602-132324,19680807,84645,0.02,0.04,4,37.57,434,243,0.043,5.194,7.322,10.8,271.0,283.0,0.001,25,6.0,8.0,36.87
20250602-132324,19680807,84645,0.02,0.04,4,40.07,664,99,0.0,6.194,7.322,10.8,271.0,283.0,0.001,25,5.0,8.0,36.87
20250602-132324,19680807,84645,0.02,0.04,4,42.58,672,132,0.0,7.194,7.322,10.8,271.0,283.0,0.001,25,5.0,8.0,36.87
20250602-132324,19680807,84645,0.02,0.04,4,45.09,723,125,0.0,8.194,4.73,10.8,214.0,283.0,0.023,23,4.0,8.0,36.87
20250602-132324,19680807,84645,0.02,0.04,4,47.59,741,109,0.0,9.194,6.861,13.307,273.0,297.0,0.002,50,7.000000000000001,9.0,45.3
20250602-132324,19680807,84645,0.02,0.04,4,50.09,789,70,0.0,10.194,6.861,13.307,273.0,297.0,0.002,50,6.0,9.0,45.3
20250602-132324,19680807,84645,0.02,0.04,4,52.59,724,173,0.062,10.194,6.861,13.307,273.0,297.0,0.002,50,6.0,9.0,45.3
