pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.3,0.7946191922444319,0.7946191922444319,61.0,61.0
9.64,2.326605211526897,2.326605211526897,106.0,105.0
14.98,4.473411148522516,4.476887908060894,140.0,140.0
23.52,6.9038140606583855,6.8327403328065195,172.0,159.0
33.06,9.567920163132397,9.373932375221962,282.0,180.0
37.51,9.397601920776633,12.098625101833404,212.0,203.0
45.94,11.192804287175889,14.935209288083204,141.0,201.0
54.47,11.988408419099034,17.89563185290228,134.0,226.0
59.86,14.16072422698714,20.90961988270579,223.0,218.0
65.25,14.609599340283578,24.0551081464741,175.0,246.0
68.79,16.22626118270111,27.387217510959857,203.0,248.0
72.37,19.783420506977194,30.673466823147333,277.0,273.0
82.47,24.156240392991855,34.299252323854844,364.0,272.0
89.05,30.35177468615907,37.84855157730222,473.0,306.0
92.85,33.1674659539714,41.67795499147745,356.0,294.0
97.2,35.21934177390989,45.509361734502534,280.0,320.0
104.15,41.76214425555973,49.534807685223896,448.0,308.0
110.73,51.315162485017225,53.653437029905845,540.0,355.0
119.6,54.68575546628486,58.048300725071506,588.0,345.0
125.4,62.224232984858816,62.384430593629546,576.0,380.0
