pulse_time,Qm_D,Qm_ND,wet_D,wet_ND
3.3,0.7946191922444319,0.7946191922444319,61.0,61.0
9.62,2.326605211526897,2.326605211526897,105.0,105.0
15.09,4.618419310224766,4.476887908060894,166.0,140.0
23.55,6.529727193984241,6.8327403328065195,147.0,159.0
32.91,8.200773477682425,9.373932375221962,202.0,180.0
37.43,10.828294961280942,12.098625101833404,215.0,203.0
46.43,16.37724534341732,14.935209288083204,416.0,201.0
55.07,16.719612345611587,17.89563185290228,307.0,226.0
60.5,16.138321800442046,20.90961988270579,160.0,218.0
65.89,15.769015630235987,24.0551081464741,103.0,246.0
69.23,15.763342080648979,27.387217510959857,70.0,248.0
72.77,18.14359857767161,30.673466823147333,178.0,273.0
82.26,20.431087177628918,34.299252323854844,188.0,272.0
87.84,21.256224827232316,37.84855157730222,215.0,306.0
91.35,22.288360330058694,41.67795499147745,180.0,294.0
96.43,26.091486713929957,45.509361734502534,287.0,323.0
103.13,29.915187798009296,49.534807685223896,277.0,308.0
108.47,30.728449836398006,53.653437029905845,219.0,351.0
116.72,28.978512139975024,58.048300725071506,99.0,333.0
120.02,28.55930295885748,62.384430593629546,94.0,369.0
126.21,38.5005147171415,66.50179382674946,537.0,355.0
